Advice,Company,Target,Analyst,Date,Ticker
Accumulate,GMM Pfaudler Ltd.,920.0,Angel Broking,18 May 2018,
Buy,Parag Milk Foods Ltd.,410.0,Angel Broking,14 May 2018,PARAGMILK
Buy,Nilkamal Ltd.,2165.0,Angel Broking,14 May 2018,NILKAMAL
Buy,ICICI Bank Ltd.,422.0,Angel Broking,14 May 2018,ICICIBANK
Buy,Dewan Housing Financ..,740.0,Angel Broking,10 May 2018,DHFL
Buy,Mahindra & Mahindra ..,990.0,Angel Broking,09 May 2018,
Buy,Matrimony.com Ltd.,1016.0,Angel Broking,07 May 2018,MATRIMONY
Buy,L&T Finance Ltd.,210.0,Angel Broking,03 May 2018,LTF
Buy,Matrimony.com Ltd.,984.0,Angel Broking,20 Apr 2018,
Buy,Parag Milk Foods Ltd.,333.0,Angel Broking,16 Apr 2018,
Buy,GMM Pfaudler Ltd.,861.0,Angel Broking,06 Apr 2018,
Buy,Ashok Leyland Ltd.,163.0,Angel Broking,07 Mar 2018,ASHOKLEY
Buy,Greenply Industries ..,395.0,Angel Broking,03 Mar 2018,
Buy,Safari Industries (I..,650.0,Angel Broking,21 Feb 2018,
Buy,AGI Greenpac Ltd.,510.0,Angel Broking,16 Feb 2018,
Buy,Ruchira Papers Ltd.,244.0,Angel Broking,16 Feb 2018,
Buy,ICICI Bank Ltd.,416.0,Angel Broking,15 Feb 2018,
Neutral,Asian Granito India ..,,Angel Broking,14 Feb 2018,
Buy,LT Foods Ltd.,128.0,Angel Broking,12 Feb 2018,LTFOODS
Buy,TV Today Network Ltd.,560.0,Angel Broking,12 Feb 2018,TVTODAY
Buy,Elantas Beck India L..,2500.0,Angel Broking,07 Feb 2018,
Buy,CCL Products India L..,360.0,Angel Broking,05 Feb 2018,
Buy,Siyaram Silk Mills L..,813.0,Angel Broking,02 Feb 2018,
Buy,Dewan Housing Financ..,720.0,Angel Broking,27 Jan 2018,DHFL
Buy,KEI Industries Ltd.,486.0,Angel Broking,25 Jan 2018,KEI
Buy,Navkar Corporation L..,265.0,Angel Broking,24 Jan 2018,
Accumulate,HCL Technologies Ltd.,1014.0,Angel Broking,22 Jan 2018,
Neutral,Infosys Ltd.,,Angel Broking,16 Jan 2018,
Sell,Tata Consultancy Ser..,2493.0,Angel Broking,15 Jan 2018,
Buy,CCL Products India L..,360.0,Angel Broking,04 Jan 2018,
Buy,Nilkamal Ltd.,2178.0,Angel Broking,03 Jan 2018,
Buy,Shreyans Industries ..,247.0,Angel Broking,30 Dec 2017,
Buy,Prism Johnson Ltd.,131.0,Angel Broking,21 Dec 2017,
Buy,Menon Bearings Ltd.,114.0,Angel Broking,18 Dec 2017,
Buy,Ruchira Papers Ltd.,244.0,Angel Broking,15 Dec 2017,
Neutral,Future Supply Chain ..,,Angel Broking,04 Dec 2017,
Accumulate,Ipca Laboratories Ltd.,570.0,Angel Broking,28 Nov 2017,
Buy,Century Plyboards (I..,400.0,Angel Broking,28 Nov 2017,
Sell,Zydus Lifesciences L..,411.0,Angel Broking,24 Nov 2017,ZYDUSLIFE
Sell,Indoco Remedies Ltd.,136.0,Angel Broking,24 Nov 2017,INDOCO
Sell,Dr. Reddy's Laborato..,2040.0,Angel Broking,24 Nov 2017,
Buy,Sun Pharmaceutical I..,615.0,Angel Broking,24 Nov 2017,SUNPHARMA
Sell,Rallis India Ltd.,189.0,Angel Broking,22 Nov 2017,
Accumulate,UPL Ltd.,805.0,Angel Broking,22 Nov 2017,
Neutral,Sanofi India Ltd.,,Angel Broking,20 Nov 2017,
Buy,Lupin Ltd.,1091.0,Angel Broking,20 Nov 2017,LUPIN
Buy,Alembic Pharmaceutic..,600.0,Angel Broking,20 Nov 2017,
Sell,Cipla Ltd.,462.0,Angel Broking,20 Nov 2017,CIPLA
Sell,GlaxoSmithKline Phar..,2000.0,Angel Broking,20 Nov 2017,
Buy,Aurobindo Pharma Ltd.,823.0,Angel Broking,20 Nov 2017,
Accumulate,Tech Mahindra Ltd.,526.0,Angel Broking,16 Nov 2017,
Buy,LT Foods Ltd.,96.0,Angel Broking,07 Nov 2017,
Neutral,Khadim India Ltd.,,Angel Broking,01 Nov 2017,
Neutral,Tata Consultancy Ser..,,Angel Broking,25 Oct 2017,
Buy,Endurance Technologi..,1277.0,Angel Broking,16 Oct 2017,
Neutral,Bharat Road Network ..,,Angel Broking,05 Sep 2017,
Buy,Ipca Laboratories Ltd.,540.0,Angel Broking,28 Aug 2017,
Neutral,Sanofi India Ltd.,,Angel Broking,28 Aug 2017,
Buy,Sun Pharmaceutical I..,558.0,Angel Broking,18 Aug 2017,SUNPHARMA
Sell,Cipla Ltd.,458.0,Angel Broking,18 Aug 2017,CIPLA
Sell,Zydus Lifesciences L..,426.0,Angel Broking,18 Aug 2017,
Buy,Aurobindo Pharma Ltd.,823.0,Angel Broking,14 Aug 2017,
