Advice,Company,Target,Analyst,Date,Ticker,Reco
Buy,Zee Entertainment En..,220.0,Anand Rathi,2020-07-27,,145.39999389648438
Buy,Karnataka Bank Ltd.,60.0,Anand Rathi,2020-07-13,,47.25
Buy,KNR Constructions Ltd.,272.0,Anand Rathi,2020-06-15,,108.4499969482422
Buy,Granules India Ltd.,227.0,Anand Rathi,2020-06-03,,181.4499969482422
Buy,KEI Industries Ltd.,411.0,Anand Rathi,2020-06-02,,307.70001220703125
Buy,Bata India Ltd.,1600.0,Anand Rathi,2020-05-30,,1325.5999755859375
Buy,MindTree Ltd.,,Angel Broking,2020-05-28,,
Buy,Dewan Housing Financ..,300.0,Angel Broking,2018-12-07,DHFL,
Buy,VIP Industries Ltd.,555.0,Angel Broking,2018-11-19,,481.1499938964844
Accumulate,Aurobindo Pharma Ltd.,855.0,Angel Broking,2018-11-19,,794.0
Buy,Siyaram Silk Mills L..,549.0,Angel Broking,2018-11-15,SIYSIL,374.1000061035156
Buy,Jindal Steel & Power..,320.0,Angel Broking,2018-11-15,,181.4499969482422
Buy,Mahindra & Mahindra ..,1050.0,Angel Broking,2018-11-15,,270.522705078125
Buy,Automotive Axles Ltd.,1450.0,Angel Broking,2018-11-15,,1347.0
Buy,Ashok Leyland Ltd.,149.0,Angel Broking,2018-11-15,ASHOKLEY,106.0999984741211
Buy,TV Today Network Ltd.,498.0,Angel Broking,2018-11-12,TVTODAY,372.2000122070313
Buy,Inox Wind Ltd.,120.0,Angel Broking,2018-11-10,INOXWIND,22.387500762939453
Buy,Safari Industries (I..,1000.0,Angel Broking,2018-11-09,,
Buy,Parag Milk Foods Ltd.,330.0,Angel Broking,2018-11-06,PARAGMILK,247.1499938964844
Buy,NTPC Ltd.,195.0,Angel Broking,2018-11-06,NTPC,128.4583282470703
Buy,Bata India Ltd.,1243.0,Angel Broking,2018-11-03,BATAINDIA,1006.6500244140624
Buy,KEI Industries Ltd.,500.0,Angel Broking,2018-11-02,KEI,363.8500061035156
Buy,Blue Star Ltd.,867.0,Angel Broking,2018-11-01,,287.75
Buy,Shriram Finance Ltd.,1760.0,Angel Broking,2018-11-01,,
Buy,ICICI Bank Ltd.,410.0,Angel Broking,2018-10-30,ICICIBANK,345.70001220703125
Buy,HDFC Bank Ltd.,2350.0,Angel Broking,2018-10-30,,956.375
Buy,Music Broadcast Ltd.,475.0,Angel Broking,2018-10-30,,52.35200119018555
Buy,Maruti Suzuki India ..,8552.0,Angel Broking,2018-10-29,MARUTI,6798.7001953125
Buy,Lumax Industries Ltd.,2500.0,Angel Broking,2018-10-26,LUMAXIND,1623.0
Buy,TTK Prestige Ltd.,7500.0,Angel Broking,2018-10-25,,519.4000244140625
Sell,Tata Consultancy Ser..,1800.0,Angel Broking,2018-10-16,,1962.300048828125
Buy,Aurobindo Pharma Ltd.,870.0,Angel Broking,2018-09-07,AUROPHARMA,800.8499755859375
Buy,Lumax Industries Ltd.,2550.0,Angel Broking,2018-08-28,,2021.1500244140625
Buy,Siyaram Silk Mills L..,700.0,Angel Broking,2018-08-20,SIYSIL,522.7999877929688
Buy,Safari Industries (I..,1000.0,Angel Broking,2018-08-18,SAFARI,
Buy,TTK Prestige Ltd.,7500.0,Angel Broking,2018-08-17,,523.2708129882812
Buy,Jindal Steel & Power..,320.0,Angel Broking,2018-08-14,,199.5
Buy,KEI Industries Ltd.,508.0,Angel Broking,2018-08-13,,382.75
Buy,GMM Pfaudler Ltd.,1200.0,Angel Broking,2018-08-13,,345.25
Buy,Aurobindo Pharma Ltd.,780.0,Angel Broking,2018-08-10,AUROPHARMA,610.9000244140625
Buy,Blue Star Ltd.,867.0,Angel Broking,2018-08-10,,348.6499938964844
Buy,Amber Enterprises In..,1135.0,Angel Broking,2018-08-08,,943.25
Buy,Parag Milk Foods Ltd.,410.0,Angel Broking,2018-08-08,,314.54998779296875
Buy,Mahindra & Mahindra ..,1050.0,Angel Broking,2018-08-08,,303.9951171875
Buy,ICICI Bank Ltd.,411.0,Angel Broking,2018-07-30,ICICIBANK,307.3500061035156
Buy,YES Bank Ltd.,435.0,Angel Broking,2018-07-27,,370.0
Buy,Maruti Suzuki India ..,10820.0,Angel Broking,2018-07-27,,9310.400390625
Buy,Music Broadcast Ltd.,475.0,Angel Broking,2018-07-26,RADIOCITY,49.19200134277344
Hold,UPL Ltd.,680.0,Angel Broking,2018-07-24,UPL,420.1333312988281
Accumulate,HDFC Bank Ltd.,2350.0,Angel Broking,2018-07-24,HDFCBANK,1079.875
Buy,Bata India Ltd.,955.0,Angel Broking,2018-07-23,BATAINDIA,904.0
Buy,YES Bank Ltd.,435.0,Angel Broking,2018-07-18,,383.6499938964844
Neutral,TCNS Clothing Co. Ltd.,,Angel Broking,2018-07-16,,
Buy,Aurobindo Pharma Ltd.,770.0,Angel Broking,2018-07-03,AUROPHARMA,626.7999877929688
Buy,Bata India Ltd.,896.0,Angel Broking,2018-06-18,,816.5
Buy,LT Foods Ltd.,128.0,Angel Broking,2018-06-05,,
Buy,Safari Industries (I..,720.0,Angel Broking,2018-06-04,SAFARI,
Buy,Greenply Industries ..,364.0,Angel Broking,2018-05-31,GREENPLY,256.8200378417969
Buy,Mahindra & Mahindra ..,1050.0,Angel Broking,2018-05-30,M&M,291.7706604003906
Buy,Siyaram Silk Mills L..,851.0,Angel Broking,2018-05-30,SIYSIL,655.4500122070312
Buy,Blue Star Ltd.,867.0,Angel Broking,2018-05-21,BLUESTARCO,351.4750061035156
Buy,KEI Industries Ltd.,508.0,Angel Broking,2018-05-21,KEI,450.3999938964844
Neutral,Century Plyboards (I..,,Angel Broking,2018-05-19,,259.3999938964844
Buy,Aditya Birla Capital..,218.0,Angel Broking,2018-05-19,,147.5
Accumulate,GMM Pfaudler Ltd.,920.0,Angel Broking,2018-05-18,,283.7166748046875
Buy,Parag Milk Foods Ltd.,410.0,Angel Broking,2018-05-14,PARAGMILK,336.75
Buy,Nilkamal Ltd.,2165.0,Angel Broking,2018-05-14,NILKAMAL,1682.5999755859375
Buy,ICICI Bank Ltd.,422.0,Angel Broking,2018-05-14,ICICIBANK,310.1000061035156
Buy,Dewan Housing Financ..,740.0,Angel Broking,2018-05-10,DHFL,
Buy,Mahindra & Mahindra ..,990.0,Angel Broking,2018-05-09,,305.33642578125
Buy,Matrimony.com Ltd.,1016.0,Angel Broking,2018-05-07,MATRIMONY,832.8499755859375
Buy,L&T Finance Ltd.,210.0,Angel Broking,2018-05-03,LTF,
Buy,Matrimony.com Ltd.,984.0,Angel Broking,2018-04-20,,808.3499755859375
Buy,Parag Milk Foods Ltd.,333.0,Angel Broking,2018-04-16,,250.0
Buy,GMM Pfaudler Ltd.,861.0,Angel Broking,2018-04-06,,242.5833282470703
Buy,Ashok Leyland Ltd.,163.0,Angel Broking,2018-03-07,ASHOKLEY,141.25
Buy,Greenply Industries ..,395.0,Angel Broking,2018-03-03,,337.8167419433594
Buy,Safari Industries (I..,650.0,Angel Broking,2018-02-21,,
Buy,AGI Greenpac Ltd.,510.0,Angel Broking,2018-02-16,,
Buy,Ruchira Papers Ltd.,244.0,Angel Broking,2018-02-16,,168.77272033691406
Buy,ICICI Bank Ltd.,416.0,Angel Broking,2018-02-15,,328.6499938964844
Neutral,Asian Granito India ..,,Angel Broking,2018-02-14,,333.0388488769531
Buy,LT Foods Ltd.,128.0,Angel Broking,2018-02-12,LTFOODS,
Buy,TV Today Network Ltd.,560.0,Angel Broking,2018-02-12,TVTODAY,475.9500122070313
Buy,Elantas Beck India L..,2500.0,Angel Broking,2018-02-07,,2156.10009765625
Buy,CCL Products India L..,360.0,Angel Broking,2018-02-05,,281.25
Buy,Siyaram Silk Mills L..,813.0,Angel Broking,2018-02-02,,630.7000122070312
Buy,Dewan Housing Financ..,720.0,Angel Broking,2018-01-27,DHFL,
Buy,KEI Industries Ltd.,486.0,Angel Broking,2018-01-25,KEI,400.1000061035156
Buy,Navkar Corporation L..,265.0,Angel Broking,2018-01-24,,195.3999938964844
Accumulate,HCL Technologies Ltd.,1014.0,Angel Broking,2018-01-22,,483.1749877929688
Neutral,Infosys Ltd.,,Angel Broking,2018-01-16,,561.4249877929688
Sell,Tata Consultancy Ser..,2493.0,Angel Broking,2018-01-15,,1373.050048828125
Buy,CCL Products India L..,360.0,Angel Broking,2018-01-04,,299.25
Buy,Nilkamal Ltd.,2178.0,Angel Broking,2018-01-03,,1975.6500244140625
Buy,Shreyans Industries ..,247.0,Angel Broking,2017-12-30,,205.6000061035156
Buy,Prism Johnson Ltd.,131.0,Angel Broking,2017-12-21,,118.8000030517578
Buy,Menon Bearings Ltd.,114.0,Angel Broking,2017-12-18,,90.6500015258789
Buy,Ruchira Papers Ltd.,244.0,Angel Broking,2017-12-15,,173.5
Neutral,Future Supply Chain ..,,Angel Broking,2017-12-04,,
Accumulate,Ipca Laboratories Ltd.,570.0,Angel Broking,2017-11-28,,271.6499938964844
Buy,Century Plyboards (I..,400.0,Angel Broking,2017-11-28,,313.5
Sell,Zydus Lifesciences L..,411.0,Angel Broking,2017-11-24,ZYDUSLIFE,447.2000122070313
Sell,Indoco Remedies Ltd.,136.0,Angel Broking,2017-11-24,INDOCO,293.75
Sell,Dr. Reddy's Laborato..,2040.0,Angel Broking,2017-11-24,,2295.050048828125
Buy,Sun Pharmaceutical I..,615.0,Angel Broking,2017-11-24,SUNPHARMA,549.5
Sell,Rallis India Ltd.,189.0,Angel Broking,2017-11-22,,230.6999969482422
Accumulate,UPL Ltd.,805.0,Angel Broking,2017-11-22,,498.0666809082031
Neutral,Sanofi India Ltd.,,Angel Broking,2017-11-20,,4430.0
Buy,Lupin Ltd.,1091.0,Angel Broking,2017-11-20,LUPIN,826.1500244140625
Buy,Alembic Pharmaceutic..,600.0,Angel Broking,2017-11-20,,515.4000244140625
Sell,Cipla Ltd.,462.0,Angel Broking,2017-11-20,CIPLA,604.25
Sell,GlaxoSmithKline Phar..,2000.0,Angel Broking,2017-11-20,,1246.449951171875
Buy,Aurobindo Pharma Ltd.,823.0,Angel Broking,2017-11-20,,706.4500122070312
Accumulate,Tech Mahindra Ltd.,526.0,Angel Broking,2017-11-16,,499.8999938964844
Buy,LT Foods Ltd.,96.0,Angel Broking,2017-11-07,,
Neutral,Khadim India Ltd.,,Angel Broking,2017-11-01,,
Neutral,Tata Consultancy Ser..,,Angel Broking,2017-10-25,,1279.949951171875
Buy,Endurance Technologi..,1277.0,Angel Broking,2017-10-16,,1132.699951171875
Neutral,Bharat Road Network ..,,Angel Broking,2017-09-05,,
Buy,Ipca Laboratories Ltd.,540.0,Angel Broking,2017-08-28,,208.6750030517578
Neutral,Sanofi India Ltd.,,Angel Broking,2017-08-28,,4030.39990234375
Buy,Sun Pharmaceutical I..,558.0,Angel Broking,2017-08-18,SUNPHARMA,470.1499938964844
Sell,Cipla Ltd.,458.0,Angel Broking,2017-08-18,CIPLA,565.2999877929688
Sell,Zydus Lifesciences L..,426.0,Angel Broking,2017-08-18,,473.3999938964844
Buy,Aurobindo Pharma Ltd.,823.0,Angel Broking,2017-08-14,,714.5
Sell,Indoco Remedies Ltd.,153.0,Angel Broking,2017-08-14,INDOCO,191.9499969482422
Sell,UPL Ltd.,820.0,Angel Broking,2017-08-08,,575.566650390625
Buy,Lupin Ltd.,1467.0,Angel Broking,2017-08-07,LUPIN,985.0499877929688
Accumulate,Karur Vysya Bank Ltd.,160.0,Angel Broking,2017-08-04,,119.16777801513672
Neutral,Dr. Reddy's Laborato..,,Angel Broking,2017-08-03,,2323.949951171875
Neutral,GlaxoSmithKline Phar..,,Angel Broking,2017-08-03,,1180.75
Buy,Tech Mahindra Ltd.,533.0,Angel Broking,2017-08-02,,402.0499877929688
Buy,Federal Bank Ltd.,140.0,Angel Broking,2017-08-02,,114.8000030517578
Accumulate,Alembic Pharmaceutic..,600.0,Angel Broking,2017-08-01,APLLTD,524.5999755859375
Buy,Syngene Internationa..,558.0,Angel Broking,2017-07-31,SYNGENE,237.1000061035156
Accumulate,Maruti Suzuki India ..,8501.0,Angel Broking,2017-07-28,MARUTI,7630.4501953125
Buy,HCL Technologies Ltd.,1014.0,Angel Broking,2017-07-28,,446.5499877929688
Accumulate,Hero MotoCorp Ltd.,4130.0,Angel Broking,2017-07-27,HEROMOTOCO,3703.550048828125
Neutral,Rallis India Ltd.,,Angel Broking,2017-07-26,,241.8999938964844
Buy,Ashok Leyland Ltd.,124.0,Angel Broking,2017-07-25,ASHOKLEY,104.9499969482422
Buy,Dewan Housing Financ..,550.0,Angel Broking,2017-07-25,DHFL,
Neutral,Wipro Ltd.,,Angel Broking,2017-07-25,,217.1625518798828
Accumulate,Bajaj Auto Ltd.,3151.0,Angel Broking,2017-07-24,BAJAJ-AUTO,2826.75
Buy,Music Broadcast Ltd.,434.0,Angel Broking,2017-07-20,,59.3120002746582
Accumulate,Tata Consultancy Ser..,2651.0,Angel Broking,2017-07-18,,1204.175048828125
Buy,Infosys Ltd.,1179.0,Angel Broking,2017-07-17,,492.0249938964844
Buy,L&T Finance Ltd.,179.0,Angel Broking,2017-07-07,,
Buy,Syngene Internationa..,564.0,Angel Broking,2017-07-06,,236.5749969482422
Neutral,UPL Ltd.,740.0,Angel Broking,2017-06-15,UPL,569.1666870117188
Sell,Cipla Ltd.,461.0,Angel Broking,2017-06-13,CIPLA,551.5499877929688
Buy,Lupin Ltd.,1526.0,Angel Broking,2017-06-12,LUPIN,1160.199951171875
Buy,Sun Pharmaceutical I..,712.0,Angel Broking,2017-06-12,SUNPHARMA,532.5499877929688
Sell,Indoco Remedies Ltd.,150.0,Angel Broking,2017-06-12,INDOCO,193.0500030517578
Neutral,Zydus Lifesciences L..,495.0,Angel Broking,2017-06-05,,490.6000061035156
Buy,Aurobindo Pharma Ltd.,823.0,Angel Broking,2017-06-02,AUROPHARMA,593.4000244140625
Buy,Tech Mahindra Ltd.,533.0,Angel Broking,2017-05-31,TECHM,390.0
Buy,Alkem Laboratories L..,2161.0,Angel Broking,2017-05-31,,1931.5
Buy,HCL Technologies Ltd.,1014.0,Angel Broking,2017-05-15,HCLTECH,424.2749938964844
Accumulate,Alembic Pharmaceutic..,648.0,Angel Broking,2017-05-09,,592.0499877929688
Neutral,Sanofi India Ltd.,,Angel Broking,2017-05-09,,4156.60009765625
Buy,Wipro Ltd.,570.0,Angel Broking,2017-05-02,,185.5875396728516
Accumulate,HDFC Bank Ltd.,1650.0,Angel Broking,2017-04-24,HDFCBANK,766.5250244140625
Buy,Tata Consultancy Ser..,2651.0,Angel Broking,2017-04-24,TCS,1164.050048828125
Buy,Infosys Ltd.,1179.0,Angel Broking,2017-04-19,INFY,459.6000061035156
Buy,Karur Vysya Bank Ltd.,140.0,Angel Broking,2017-03-31,,94.85992431640624
Buy,Kalpataru Projects I..,,Angel Broking,2017-03-31,,
